customer_ref,event_time,amount,currency,event_code,source_system
CB00001,2026-04-21T06:00:00,1800,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00001,2026-04-21T06:08:00,1800,GBP,VALIDATED,INSTRUCTIONS
CB00001,2026-04-21T06:20:00,1800,GBP,SWIFT_SENT,SWIFT
CB00001,2026-04-21T14:00:00,1800,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00001,2026-04-21T20:00:00,1800,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00001,2026-04-21T21:00:00,1800,GBP,CLOSED,WORKFLOW
CB00002,2026-04-21T12:00:00,2600,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00002,2026-04-21T12:08:00,2600,EUR,VALIDATED,INSTRUCTIONS
CB00002,2026-04-21T12:20:00,2600,EUR,SWIFT_SENT,SWIFT
CB00002,2026-04-21T20:00:00,2600,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00002,2026-04-22T02:00:00,2600,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00002,2026-04-22T03:00:00,2600,EUR,CLOSED,WORKFLOW
CB00003,2026-04-21T18:00:00,3400,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00003,2026-04-21T18:08:00,3400,USD,VALIDATED,INSTRUCTIONS
CB00003,2026-04-21T18:20:00,3400,USD,SWIFT_SENT,SWIFT
CB00003,2026-04-21T20:00:00,3400,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00003,2026-04-21T21:00:00,3400,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00003,2026-04-21T22:00:00,3400,USD,CLOSED,WORKFLOW
CB00004,2026-04-22T00:00:00,4200,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00004,2026-04-22T00:08:00,4200,GBP,VALIDATED,INSTRUCTIONS
CB00004,2026-04-22T00:20:00,4200,GBP,SWIFT_SENT,SWIFT
CB00004,2026-04-22T02:00:00,4200,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00004,2026-04-22T03:00:00,4200,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00004,2026-04-22T04:00:00,4200,GBP,CLOSED,WORKFLOW
CB00005,2026-04-22T06:00:00,5000,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
